Facility Name,Latitude,Longitude,Country,Sector
Long Xuyên Cold Storage 1,8.8389,105.0631,Vietnam,Logistics
Hà Tiên Data Center 2,10.7359,105.0160,Cambodia,Technology
Phnom Penh Cold Storage 3,11.2486,104.5828,Cambodia,Logistics
Hà Tiên Brewery 4,11.3887,104.8116,Cambodia,Food & Beverage
Hà Tiên Bottling Plant 5,9.1412,105.2894,Vietnam,Food & Beverage
Rạch Giá Sugar Refinery 6,106.4594,11.5435,Vietnam,Food & Beverage
Cần Thơ Bottling Plant 7,11.0955,105.8725,Cambodia,Food & Beverage
Vĩnh Long Cannery 8,9.9020,105.8614,Vietnam,Food & Beverage
Cao Lãnh Cold Storage 9,10.7497,107.0732,Vietnam,Logistics
Rạch Giá Feed Mill 10,"10°30'45""N","106°40'58""E",Vietnam,Agriculture
Rạch Giá Cannery 11,10.7562,107.0772,Vietnam,Food & Beverage
Phnom Penh Bottling Plant 12,10.5458,105.7508,Vietnam,Food & Beverage
Rạch Giá Brewery 13,11.3374,106.6882,Vietnam,Food & Beverage
Bạc Liêu Garment Factory 14,106.4116,9.9157,Vietnam,Textiles
Trà Vinh Cold Storage 15,9.6703,106.0790,Vietnam,Logistics
Takeo Aquafarm 16,10.3540,105.0662,Vietnam,Agriculture
Cà Mau Rice Mill 17,"10,0574","106,0509",Vietnam,Agriculture
Sóc Trăng Feed Mill 18,10.6515,106.8393,Vietnam,Agriculture
Cao Lãnh Textile Mill 19,9.8686,106.0020,Vietnam,Textiles
Cao Lãnh Cold Storage 20,10.9238,104.4754,Cambodia,Logistics
Mỹ Tho Rice Mill 21,,,Vietnam,Agriculture
Bến Tre Rice Mill 22,10.3379,105.5326,Vietnam,Agriculture
Bến Tre Cold Storage 23,105.0281,10.3438,Vietnam,Logistics
Phnom Penh Bottling Plant 24,10.7348,106.7542,Vietnam,Food & Beverage
Bạc Liêu Cannery 25,9.2569,105.2994,Vietnam,Food & Beverage
Sóc Trăng Brewery 26,10.5438,104.7881,Cambodia,Food & Beverage
Takeo Feed Mill 27,10.4767,105.8931,Vietnam,Agriculture
Hà Tiên Feed Mill 28,"9°58'06""N","105°12'27""E",Vietnam,Agriculture
Bạc Liêu Data Center 29,10.5854,106.8482,Vietnam,Technology
Bến Tre Aquafarm 30,10.1135,105.4953,Vietnam,Agriculture
Cần Thơ Brewery 31,10.3915,106.9262,Vietnam,Food & Beverage
Vĩnh Long Feed Mill 32,105.4276,9.0621,Vietnam,Agriculture
Vĩnh Long Feed Mill 33,9.3325,105.7435,Vietnam,Agriculture
Long XuyÃªn Aquafarm 34,11.2103,106.2663,Vietnam,Agriculture
Kampot Brewery 35,10.6552,105.3694,Vietnam,Food & Beverage
Bạc Liêu Textile Mill 36,9.9152,106.4531,Vietnam,Textiles
Cà Mau Cold Storage 37,10.5589,104.1843,Cambodia,Logistics
Rạch Giá Textile Mill 38,10.8916,106.4572,Vietnam,Textiles
Kampot Cold Storage 39,"9,9240","105,8139",Vietnam,Logistics
Cà Mau Shrimp Processing 40,10.6693,106.7747,Vietnam,Food & Beverage
Cao Lãnh Feed Mill 41,11.5172,105.0623,Cambodia,Agriculture
Trà Vinh Sugar Refinery 42,8.9942,105.0509,Vietnam,Food & Beverage
